overall_rank,name,position,team,pos_rank,total_vor,total_points,avg_next_two,draft_value
1,Trevor Lawrence,QB,JAX,1,21.24,21.24,0.0,21.24
2,George Kittle,TE,SF,1,3.4,11.47,0.655,2.745
3,James Cook,RB,BUF,1,2.2,15.78,0.39,1.81
4,Brenton Strange,TE,JAX,2,0.82,8.89,0.245,0.575
5,Travis Etienne,RB,JAX,2,0.78,14.36,0.0,0.78
6,Hunter Henry,TE,NE,3,0.49,8.56,0.0,0.49
7,Tetairoa McMillan,WR,CAR,1,0.28,12.15,0.0,0.28
8,Caleb Williams,QB,CHI,2,0.0,0.0,0.0,0.0
9,Tanner McKee,QB,PHI,3,0.0,0.0,0.0,0.0
10,Sam Darnold,QB,SEA,4,0.0,0.0,0.0,0.0
11,Bo Nix,QB,DEN,5,0.0,0.0,0.0,0.0
12,Bryce Young,QB,CAR,6,0.0,0.0,0.0,0.0
13,C.J. Stroud,QB,HOU,7,0.0,0.0,0.0,0.0
14,Aaron Rodgers,QB,PIT,8,0.0,0.0,0.0,0.0
15,Mitchell Trubisky,QB,BUF,9,0.0,0.0,0.0,0.0
16,Trey Lance,QB,LAC,10,0.0,0.0,0.0,0.0
17,Colston Loveland,TE,CHI,4,0.0,0.0,0.0,0.0
18,Pat Freiermuth,TE,PIT,5,0.0,0.0,0.0,0.0
19,Jakobi Meyers,WR,JAX,2,0.0,0.0,0.0,0.0
20,Dalton Schultz,TE,HOU,6,0.0,0.0,0.0,0.0
21,Parker Washington,WR,JAX,3,0.0,0.0,0.0,0.0
22,Stefon Diggs,WR,NE,4,0.0,0.0,0.0,0.0
23,Grant Calcaterra,TE,PHI,7,0.0,0.0,0.0,0.0
24,Tank Bigsby,RB,PHI,3,0.0,0.0,0.0,0.0
25,Jaylen Warren,RB,PIT,4,0.0,0.0,0.0,0.0
26,D'Andre Swift,RB,CHI,5,0.0,0.0,0.0,0.0
27,DJ Moore,WR,CHI,5,0.0,0.0,0.0,0.0
28,Jayden Higgins,WR,HOU,6,0.0,0.0,0.0,0.0
29,Tommy Tremble,TE,CAR,8,0.0,0.0,0.0,0.0
30,Luther Burden,WR,CHI,7,0.0,0.0,0.0,0.0
31,Jauan Jennings,WR,SF,8,0.0,0.0,0.0,0.0
32,Colby Parkinson,TE,LAR,9,0.0,0.0,0.0,0.0
33,Brian Thomas,WR,JAX,9,0.0,0.0,0.0,0.0
34,Kenneth Gainwell,RB,PIT,6,0.0,0.0,0.0,0.0
35,Woody Marks,RB,HOU,7,0.0,0.0,0.0,0.0
36,Jonnu Smith,TE,PIT,10,0.0,0.0,0.0,0.0
37,Darius Cooper,WR,PHI,10,0.0,0.0,0.0,0.0
38,Jahan Dotson,WR,PHI,11,0.0,0.0,0.0,0.0
39,Jalen Coker,WR,CAR,12,0.0,0.0,0.0,0.0
40,Emanuel Wilson,RB,GB,8,0.0,0.0,0.0,0.0
41,Rico Dowdle,RB,CAR,9,0.0,0.0,0.0,0.0
42,Josh Whyle,TE,GB,11,0.0,0.0,0.0,0.0
43,Will Dissly,TE,LAC,12,0.0,0.0,0.0,0.0
44,Davis Allen,TE,LAR,13,0.0,0.0,0.0,0.0
45,Cole Kmet,TE,CHI,14,0.0,0.0,0.0,0.0
46,Kyle Monangai,RB,CHI,10,0.0,0.0,0.0,0.0
47,Jackson Hawes,TE,BUF,15,0.0,0.0,0.0,0.0
48,Tyler Higbee,TE,LAR,16,0.0,0.0,0.0,0.0
49,Dalton Kincaid,TE,BUF,17,0.0,0.0,0.0,0.0
50,Dawson Knox,TE,BUF,18,0.0,0.0,0.0,0.0
51,Oronde Gadsden,TE,LAC,19,0.0,0.0,0.0,0.0
52,Chris Brooks,RB,GB,11,0.0,0.0,0.0,0.0
53,Tyler Conklin,TE,LAC,20,0.0,0.0,0.0,0.0
54,Matthew Golden,WR,GB,13,0.0,0.0,0.0,0.0
55,Kylen Granson,TE,PHI,21,0.0,0.0,0.0,0.0
56,Mitchell Evans,TE,CAR,22,0.0,0.0,0.0,0.0
57,Kayshon Boutte,WR,NE,14,0.0,0.0,0.0,0.0
58,Luke Musgrave,TE,GB,23,0.0,0.0,0.0,0.0
59,Khalil Shakir,WR,BUF,15,0.0,0.0,0.0,0.0
60,Konata Mumpfield,WR,LAR,16,0.0,0.0,0.0,0.0
61,KeAndre Lambert-Smith,WR,LAC,17,0.0,0.0,0.0,0.0
62,Tre' Harris,WR,LAC,18,0.0,0.0,0.0,0.0
63,Christian Kirk,WR,HOU,19,0.0,0.0,0.0,0.0
64,Jaret Patterson,RB,LAC,12,0.0,0.0,0.0,0.0
65,Will Shipley,RB,PHI,13,0.0,0.0,0.0,0.0
66,Keenan Allen,WR,LAC,20,0.0,0.0,0.0,0.0
67,Tyrell Shavers,WR,BUF,21,0.0,0.0,0.0,0.0
68,Austin Hooper,TE,NE,24,0.0,0.0,0.0,0.0
69,Olamide Zaccheaus,WR,CHI,22,0.0,0.0,0.0,0.0
70,Cade Stover,TE,HOU,25,0.0,0.0,0.0,0.0
71,Britain Covey,WR,PHI,23,0.0,0.0,0.0,0.0
72,Jaylin Noel,WR,HOU,24,0.0,0.0,0.0,0.0
73,Bo Melton,WR,GB,25,0.0,0.0,0.0,0.0
74,Marquez Valdes-Scantling,WR,PIT,26,0.0,0.0,0.0,0.0
75,Adam Thielen,WR,PIT,27,0.0,0.0,0.0,0.0
76,Xavier Legette,WR,CAR,28,0.0,0.0,0.0,0.0
77,Chuba Hubbard,RB,CAR,14,0.0,0.0,0.0,0.0
78,Calvin Austin,WR,PIT,29,0.0,0.0,0.0,0.0
79,DeMario Douglas,WR,NE,30,0.0,0.0,0.0,0.0
80,Xavier Smith,WR,LAR,31,0.0,0.0,0.0,0.0
81,Jayden Reed,WR,GB,32,0.0,0.0,0.0,0.0
82,Kyle Williams,WR,NE,33,0.0,0.0,0.0,0.0
83,Kimani Vidal,RB,LAC,15,0.0,0.0,0.0,0.0
84,Xavier Hutchinson,WR,HOU,34,0.0,0.0,0.0,0.0
85,Evan Engram,TE,DEN,26,0.0,0.0,0.0,0.0
86,Adam Trautman,TE,DEN,27,0.0,0.0,0.0,0.0
87,Blake Corum,RB,LAR,16,0.0,0.0,0.0,0.0
88,Gabe Davis,WR,BUF,35,0.0,0.0,0.0,0.0
89,Christian Watson,WR,GB,36,0.0,0.0,0.0,0.0
90,Joshua Palmer,WR,BUF,37,0.0,0.0,0.0,0.0
91,Jawhar Jordan,RB,HOU,17,0.0,0.0,0.0,0.0
92,Keon Coleman,WR,BUF,38,0.0,0.0,0.0,0.0
93,Derius Davis,WR,LAC,39,0.0,0.0,0.0,0.0
94,Scotty Miller,WR,PIT,40,0.0,0.0,0.0,0.0
95,Justin Watson,WR,HOU,41,0.0,0.0,0.0,0.0
96,Romeo Doubs,WR,GB,42,0.0,0.0,0.0,0.0
97,Efton Chism,WR,NE,43,0.0,0.0,0.0,0.0
98,Ty Johnson,RB,BUF,18,0.0,0.0,0.0,0.0
99,Demarcus Robinson,WR,SF,44,0.0,0.0,0.0,0.0
100,Jimmy Horn,WR,CAR,45,0.0,0.0,0.0,0.0
101,A.J. Dillon,RB,PHI,19,0.0,0.0,0.0,0.0
102,Kendrick Bourne,WR,SF,46,0.0,0.0,0.0,0.0
103,Bhayshul Tuten,RB,JAX,20,0.0,0.0,0.0,0.0
104,Jahdae Walker,WR,CHI,47,0.0,0.0,0.0,0.0
105,Ray Davis,RB,BUF,21,0.0,0.0,0.0,0.0
106,Tim Patrick,WR,JAX,48,0.0,0.0,0.0,0.0
107,LeQuint Allen,RB,JAX,22,0.0,0.0,0.0,0.0
108,Brian Robinson,RB,SF,23,0.0,0.0,0.0,0.0
109,Cooper Kupp,WR,SEA,49,0.0,0.0,0.0,0.0
110,Marvin Mims,WR,DEN,50,0.0,0.0,0.0,0.0
111,Rashid Shaheed,WR,SEA,51,0.0,0.0,0.0,0.0
112,Troy Franklin,WR,DEN,52,0.0,0.0,0.0,0.0
113,Lil'Jordan Humphrey,WR,DEN,53,0.0,0.0,0.0,0.0
114,Michael Bandy,WR,DEN,54,0.0,0.0,0.0,0.0
115,Hassan Haskins,RB,LAC,24,0.0,0.0,0.0,0.0
116,RJ Harvey,RB,DEN,25,0.0,0.0,0.0,0.0
117,Kenneth Walker,RB,SEA,26,0.0,0.0,0.0,0.0
118,Zach Charbonnet,RB,SEA,27,0.0,0.0,0.0,0.0
119,Jaleel McLaughlin,RB,DEN,28,0.0,0.0,0.0,0.0
120,Tyler Badie,RB,DEN,29,0.0,0.0,0.0,0.0
121,A.J. Brown,WR,PHI,55,0.0,0.0,0.0,0.0
122,Dallas Goedert,TE,PHI,28,0.0,0.0,0.0,0.0
123,Josh Jacobs,RB,GB,30,0.0,0.0,0.0,0.0
124,DeVonta Smith,WR,PHI,56,0.0,0.0,0.0,0.0
125,Omarion Hampton,RB,LAC,31,0.0,0.0,0.0,0.0
126,Jalen Hurts,QB,PHI,11,0.0,0.0,0.0,0.0
127,Justin Herbert,QB,LAC,12,0.0,0.0,0.0,0.0
128,Jordan Love,QB,GB,13,0.0,0.0,0.0,0.0
129,Malik Willis,QB,GB,14,0.0,0.0,0.0,0.0
130,Mac Jones,QB,SF,15,0.0,0.0,0.0,0.0
131,Davis Mills,QB,HOU,16,0.0,0.0,0.0,0.0
132,Rome Odunze,WR,CHI,57,0.0,0.0,0.0,0.0
133,Jake Tonges,TE,SF,29,0.0,0.0,0.0,0.0
134,Shane Buechele,QB,BUF,17,0.0,0.0,0.0,0.0
135,Andy Dalton,QB,CAR,18,0.0,0.0,0.0,0.0
136,Terrance Ferguson,TE,LAR,30,0.0,0.0,0.0,0.0
137,Hunter Long,TE,JAX,31,0.0,0.0,0,0.0
138,Mason Rudolph,QB,PIT,19,0.0,0.0,0,0.0
139,DK Metcalf,WR,PIT,58,0.0,0.0,0.0,0.0
140,Pat Bryant,WR,DEN,59,0.0,0.0,0.0,0.0
141,Quentin Johnston,WR,LAC,60,0.0,0.0,0.0,0.0
142,Ladd McConkey,WR,LAC,61,0.0,0.0,0.0,0.0
143,Elijah Moore,WR,DEN,62,0.0,0.0,0.0,0.0
144,Ricky Pearsall,WR,SF,63,0.0,0.0,0.0,0.0
145,Tutu Atwell,WR,LAR,64,0.0,0.0,0.0,0.0
146,Dontayvion Wicks,WR,GB,65,0.0,0.0,0.0,0.0
147,Jared Wayne,WR,HOU,66,0.0,0.0,0.0,0.0
148,Dyami Brown,WR,JAX,67,0.0,0.0,0.0,0.0
149,Brandin Cooks,WR,BUF,68,0.0,0.0,0.0,0.0
150,Jakobie Keeney-James,WR,GB,69,0.0,0.0,0.0,0.0
151,Roman Wilson,WR,PIT,70,0.0,0.0,0,0.0
152,Nick Chubb,RB,HOU,32,0.0,0.0,0.0,0.0
153,Brittain Brown,RB,CHI,33,0.0,0.0,0,0.0
