overall_rank,name,position,team,pos_rank,total_vor,total_points,avg_next_two,draft_value
1,Trevor Lawrence,QB,JAX,1,21.24,21.24,0.0,21.24
2,Zach Charbonnet,RB,SEA,1,11.14,18.07,10.475000000000001,0.6649999999999991
3,Kenneth Walker,RB,SEA,2,10.82,17.71,7.460000000000001,3.3599999999999994
4,RJ Harvey,RB,DEN,3,10.13,17.47,3.83,6.300000000000001
5,Colby Parkinson,TE,LAR,1,6.41,9.3,5.615,0.7949999999999999
6,Hunter Henry,TE,NE,2,5.9,18.19,5.135,0.7650000000000006
7,Dallas Goedert,TE,PHI,3,5.33,9.65,4.2,1.13
8,A.J. Brown,WR,PHI,1,5.23,11.28,2.11,3.1200000000000006
9,George Kittle,TE,SF,4,4.94,17.01,3.375,1.5650000000000004
10,James Cook,RB,BUF,4,4.79,27.26,2.615,2.175
11,Dalton Schultz,TE,HOU,5,3.46,6.78,3.15,0.31000000000000005
12,Brenton Strange,TE,JAX,6,3.29,14.98,2.815,0.4750000000000001
13,Colston Loveland,TE,CHI,7,3.01,6.94,1.83,1.1799999999999997
14,Travis Etienne,RB,JAX,5,2.87,25.03,2.2649999999999997,0.6050000000000004
15,Dalton Kincaid,TE,BUF,8,2.62,5.94,0.52,2.1
16,D'Andre Swift,RB,CHI,6,2.36,10.99,1.795,0.565
17,Christian Watson,WR,GB,2,2.31,5.64,1.7650000000000001,0.5449999999999999
18,Blake Corum,RB,LAR,7,2.17,8.79,1.38,0.79
19,Troy Franklin,WR,DEN,3,1.91,13.27,1.4300000000000002,0.47999999999999976
20,Rashid Shaheed,WR,SEA,4,1.62,11.11,1.145,0.4750000000000001
21,Josh Jacobs,RB,GB,8,1.42,8.83,1.04,0.3799999999999999
22,Jaleel McLaughlin,RB,DEN,9,1.34,2.22,0.7050000000000001,0.635
23,Cooper Kupp,WR,SEA,5,1.24,9.89,0.8200000000000001,0.41999999999999993
24,Stefon Diggs,WR,NE,6,1.05,10.87,0.505,0.545
25,Oronde Gadsden,TE,LAC,9,1.04,3.27,0.0,1.04
26,Kyle Monangai,RB,CHI,10,0.74,2.41,0.5800000000000001,0.15999999999999992
27,Woody Marks,RB,HOU,11,0.67,7.01,0.445,0.22500000000000003
28,Kayshon Boutte,WR,NE,7,0.59,3.61,0.355,0.235
29,Bhayshul Tuten,RB,JAX,12,0.49,1.67,0.38,0.10999999999999999
30,Marvin Mims,WR,DEN,8,0.42,2.84,0.28500000000000003,0.13499999999999995
31,Jaylen Warren,RB,PIT,13,0.4,2.22,0.35,0.050000000000000044
32,Kenneth Gainwell,RB,PIT,14,0.36,1.98,0.32,0.03999999999999998
33,Jawhar Jordan,RB,HOU,15,0.34,1.49,0.29000000000000004,0.04999999999999999
34,Brittain Brown,RB,CHI,16,0.3,0.99,0.25,0.04999999999999999
35,Rome Odunze,WR,CHI,9,0.29,3.17,0.27,0.019999999999999962
36,Tetairoa McMillan,WR,CAR,10,0.28,12.15,0.24,0.040000000000000036
37,Nick Chubb,RB,HOU,17,0.28,1.24,0.185,0.09500000000000003
38,DeVonta Smith,WR,PHI,11,0.26,8.97,0.195,0.065
39,Tank Bigsby,RB,PHI,18,0.22,0.82,0.13,0.09
40,Pat Bryant,WR,DEN,12,0.22,2.39,0.165,0.05499999999999999
41,DJ Moore,WR,CHI,13,0.17,2.66,0.155,0.015000000000000013
42,Parker Washington,WR,JAX,14,0.16,2.63,0.13,0.03
43,Jakobi Meyers,WR,JAX,15,0.15,2.57,0.11,0.039999999999999994
44,Omarion Hampton,RB,LAC,19,0.15,5.99,0.09,0.06
45,Brian Thomas,WR,JAX,16,0.11,2.4,0.08499999999999999,0.02500000000000001
46,DeMario Douglas,WR,NE,17,0.11,2.22,0.045,0.065
47,Ty Johnson,RB,BUF,20,0.11,0.75,0.065,0.045
48,Ray Davis,RB,BUF,21,0.07,0.45,0.055,0.015000000000000006
49,Luther Burden,WR,CHI,18,0.06,2.14,0.015,0.045
50,Kimani Vidal,RB,LAC,22,0.06,0.68,0.05,0.009999999999999995
51,Emanuel Wilson,RB,GB,23,0.05,0.52,0.04,0.010000000000000002
52,Brian Robinson,RB,SF,24,0.05,0.43,0.03,0.020000000000000004
53,Rico Dowdle,RB,CAR,25,0.03,0.6,0.025,0.0049999999999999975
54,Jaret Patterson,RB,LAC,26,0.03,0.33,0.01,0.019999999999999997
55,Michael Bandy,WR,DEN,19,0.03,1.96,0.0,0.03
56,Chuba Hubbard,RB,CAR,27,0.02,0.38,0.0,0.02
57,Caleb Williams,QB,CHI,2,0.0,0.0,0.0,0.0
58,Tanner McKee,QB,PHI,3,0.0,0.0,0.0,0.0
59,Sam Darnold,QB,SEA,4,0.0,0.0,0.0,0.0
60,Bo Nix,QB,DEN,5,0.0,0.0,0.0,0.0
61,Bryce Young,QB,CAR,6,0.0,0.0,0.0,0.0
62,C.J. Stroud,QB,HOU,7,0.0,0.0,0.0,0.0
63,Aaron Rodgers,QB,PIT,8,0.0,0.0,0.0,0.0
64,Mitchell Trubisky,QB,BUF,9,0.0,0.0,0.0,0.0
65,Trey Lance,QB,LAC,10,0.0,0.0,0.0,0.0
66,Pat Freiermuth,TE,PIT,10,0.0,0.0,0.0,0.0
67,Grant Calcaterra,TE,PHI,11,0.0,0.0,0.0,0.0
68,Jayden Higgins,WR,HOU,20,0.0,0.0,0.0,0.0
69,Tommy Tremble,TE,CAR,12,0.0,0.0,0.0,0.0
70,Jauan Jennings,WR,SF,21,0.0,0.0,0.0,0.0
71,Jonnu Smith,TE,PIT,13,0.0,0.0,0.0,0.0
72,Darius Cooper,WR,PHI,22,0.0,0.0,0.0,0.0
