name,position,team,half_ppr_points,play_prob,vot
Jaxon Smith-Njigba,WR,SEA,17.79,0.483,8.59
Drake Maye,QB,NE,20.79,0.27,5.61
Zach Charbonnet,RB,SEA,10.59,0.483,5.11
Matthew Stafford,QB,LAR,20.96,0.24,5.03
Kenneth Walker,RB,SEA,10.38,0.483,5.01
Puka Nacua,WR,LAR,19.53,0.24,4.69
Kyren Williams,RB,LAR,14.66,0.24,3.52
AJ Barner,TE,SEA,7.14,0.483,3.45
RJ Harvey,RB,DEN,10.89,0.315,3.43
Courtland Sutton,WR,DEN,10.63,0.315,3.35
Davante Adams,WR,LAR,13.78,0.24,3.31
Rhamondre Stevenson,RB,NE,11.77,0.27,3.18
TreVeyon Henderson,RB,NE,11.22,0.27,3.03
Rashid Shaheed,WR,SEA,6.51,0.483,2.91
Cooper Kupp,WR,SEA,5.8,0.483,2.59
Stefon Diggs,WR,NE,9.87,0.27,2.46
Troy Franklin,WR,DEN,8.27,0.315,2.41
Hunter Henry,TE,NE,8.75,0.27,2.36
Travis Etienne,RB,JAX,13.88,0.164,2.28
Kayshon Boutte,WR,NE,7.69,0.27,1.92
Colby Parkinson,TE,LAR,7.35,0.24,1.76
Blake Corum,RB,LAR,6.95,0.24,1.67
Marvin Mims,WR,DEN,4.7,0.315,1.37
Parker Washington,WR,JAX,8.98,0.164,1.36
Nico Collins,WR,HOU,12.71,0.107,1.36
Jakobi Meyers,WR,JAX,8.77,0.164,1.33
D'Andre Swift,RB,CHI,13.47,0.098,1.32
Brenton Strange,TE,JAX,7.92,0.164,1.3
Brian Thomas,WR,JAX,8.2,0.164,1.24
Saquon Barkley,RB,PHI,13.36,0.093,1.24
Josh Allen,QB,BUF,21.68,0.055,1.19
DeMario Douglas,WR,NE,4.72,0.27,1.18
Jaleel McLaughlin,RB,DEN,3.67,0.315,1.16
Pat Bryant,WR,DEN,3.95,0.315,1.15
A.J. Brown,WR,PHI,12.09,0.093,1.12
Dallas Goedert,TE,PHI,10.34,0.093,0.96
Christian McCaffrey,RB,SF,21.51,0.044,0.95
Michael Bandy,WR,DEN,3.25,0.315,0.95
James Cook,RB,BUF,17.16,0.055,0.94
Rome Odunze,WR,CHI,10.34,0.098,0.94
Bhayshul Tuten,RB,JAX,5.71,0.164,0.94
Woody Marks,RB,HOU,8.32,0.107,0.89
Dalton Schultz,TE,HOU,8.04,0.107,0.86
Colston Loveland,TE,CHI,8.51,0.098,0.83
DeVonta Smith,WR,PHI,9.61,0.093,0.83
Lil'Jordan Humphrey,WR,DEN,2.81,0.315,0.82
Jaylen Warren,RB,PIT,12.32,0.065,0.8
DJ Moore,WR,CHI,8.66,0.098,0.78
