name,position,team,half_ppr_points,play_prob,vot
Jaxson Dart,QB,NYG,21.92,1.0,21.92
Trevor Lawrence,QB,JAX,21.24,1.0,21.24
Jahmyr Gibbs,RB,DET,20.26,1.0,20.26
Drake Maye,QB,NE,20.09,1.0,20.09
Christian McCaffrey,RB,SF,18.99,1.0,18.99
Bijan Robinson,RB,ATL,18.91,1.0,18.91
Puka Nacua,WR,LAR,17.73,1.0,17.73
Jonathan Taylor,RB,IND,16.59,1.0,16.59
Derrick Henry,RB,BAL,16.48,1.0,16.48
Kyren Williams,RB,LAR,16.24,1.0,16.24
James Cook,RB,BUF,15.78,1.0,15.78
Ja'Marr Chase,WR,CIN,15.62,1.0,15.62
Amon-Ra St. Brown,WR,DET,14.67,1.0,14.67
Travis Etienne,RB,JAX,14.36,1.0,14.36
Trey McBride,TE,ARI,14.17,1.0,14.17
CeeDee Lamb,WR,DAL,13.9,1.0,13.9
Bucky Irving,RB,TB,13.88,1.0,13.88
Ashton Jeanty,RB,LV,13.58,1.0,13.58
Chase Brown,RB,CIN,12.96,1.0,12.96
Jameson Williams,WR,DET,12.91,1.0,12.91
George Pickens,WR,DAL,12.78,1.0,12.78
Audric Estime,RB,NO,12.67,1.0,12.67
Drake London,WR,ATL,12.57,1.0,12.57
Michael Wilson,WR,ARI,12.3,1.0,12.3
Tetairoa McMillan,WR,CAR,12.15,1.0,12.15
Jordan Mason,RB,MIN,11.89,1.0,11.89
Zay Flowers,WR,BAL,11.87,1.0,11.87
Tyrone Tracy,RB,NYG,11.76,1.0,11.76
Tank Bigsby,RB,PHI,11.65,1.0,11.65
Jaylen Warren,RB,PIT,11.61,1.0,11.61
D'Andre Swift,RB,CHI,11.51,1.0,11.51
Jaydon Blue,RB,DAL,11.51,1.0,11.51
George Kittle,TE,SF,11.47,1.0,11.47
Mike Evans,WR,TB,11.42,1.0,11.42
Justin Jefferson,WR,MIN,11.23,1.0,11.23
Tee Higgins,WR,CIN,11.21,1.0,11.21
Jakobi Meyers,WR,JAX,11.09,1.0,11.09
Juwan Johnson,TE,NO,11.0,1.0,11.0
Jaylen Wright,RB,MIA,10.99,1.0,10.99
TreVeyon Henderson,RB,NE,10.71,1.0,10.71
Kenneth Gainwell,RB,PIT,10.69,1.0,10.69
Rhamondre Stevenson,RB,NE,10.69,1.0,10.69
Darius Slayton,WR,NYG,10.62,1.0,10.62
Woody Marks,RB,HOU,10.59,1.0,10.59
Chris Rodriguez,RB,WAS,10.26,1.0,10.26
Dylan Sampson,RB,CLE,10.21,1.0,10.21
Parker Washington,WR,JAX,10.18,1.0,10.18
Emanuel Wilson,RB,GB,10.1,1.0,10.1
Terry McLaurin,WR,WAS,10.06,1.0,10.06
Rico Dowdle,RB,CAR,10.0,1.0,10.0
Stefon Diggs,WR,NE,9.98,1.0,9.98
DJ Moore,WR,CHI,9.79,1.0,9.79
Michael Mayer,TE,LV,9.7,1.0,9.7
Kene Nwangwu,RB,NYJ,9.64,1.0,9.64
Kyle Pitts,TE,ATL,9.57,1.0,9.57
Jayden Higgins,WR,HOU,9.55,1.0,9.55
Tony Pollard,RB,TEN,9.33,1.0,9.33
Luther Burden,WR,CHI,9.22,1.0,9.22
Jauan Jennings,WR,SF,9.19,1.0,9.19
Kyle Monangai,RB,CHI,9.18,1.0,9.18
Brian Thomas,WR,JAX,9.08,1.0,9.08
Brenton Strange,TE,JAX,8.89,1.0,8.89
