name,position,team,total_vor,total_points,wc_vor,div_vor,conf_vor,sb_vor,wc_prob,div_prob,conf_prob,sb_prob
Drake Maye,QB,NE,32.96,42.98,20.09,13.12,9.77,0.0,1.0,0.631,0.47,0.27
Jaxon Smith-Njigba,WR,SEA,24.74,30.35,-11.87,16.85,11.17,0.0,1.0,1.0,0.706,0.483
Puka Nacua,WR,LAR,21.51,42.44,5.86,15.12,7.27,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Trevor Lawrence,QB,JAX,21.24,21.24,21.24,0.0,0.0,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
Matthew Stafford,QB,LAR,18.28,26.51,0.0,17.23,9.29,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Courtland Sutton,WR,DEN,12.73,17.05,-11.87,9.69,5.03,0.0,1.0,1.0,0.604,0.315
Kyren Williams,RB,LAR,11.55,34.78,2.66,7.32,6.49,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Zach Charbonnet,RB,SEA,11.14,18.07,-13.58,5.86,7.48,0.0,1.0,1.0,0.706,0.483
Kenneth Walker,RB,SEA,10.82,17.71,-13.58,5.65,7.33,0.0,1.0,1.0,0.706,0.483
AJ Barner,TE,SEA,10.7,12.18,-8.07,7.14,5.04,0.0,1.0,1.0,0.706,0.483
Davante Adams,WR,LAR,10.63,17.43,0,10.39,4.72,0.0,0,0.8220000000000001,0.44299999999999995,0.24
RJ Harvey,RB,DEN,10.13,17.47,-13.58,6.16,6.58,0.0,1.0,1.0,0.604,0.315
Christian McCaffrey,RB,SF,6.56,28.84,5.41,2.45,2.67,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
Josh Allen,QB,BUF,6.41,14.5,0.0,11.36,3.14,0.0,1.0,0.524,0.145,0.055
Colby Parkinson,TE,LAR,6.41,9.3,-2.76,6.04,3.26,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Hunter Henry,TE,NE,5.9,18.19,0.49,5.52,4.11,0.0,1.0,0.631,0.47,0.27
Dallas Goedert,TE,PHI,5.33,9.65,0,6.89,2.76,0.0,0,0.6659999999999999,0.267,0.09300000000000001
A.J. Brown,WR,PHI,5.23,11.28,0,7.12,1.84,0.0,0,0.6659999999999999,0.267,0.09300000000000001
George Kittle,TE,SF,4.94,17.01,3.4,4.04,1.5,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
James Cook,RB,BUF,4.79,27.26,2.2,4.26,2.49,0.0,1.0,0.524,0.145,0.055
Nico Collins,WR,HOU,4.58,10.71,0,6.89,1.5,0.0,0,0.616,0.22699999999999998,0.107
Rhamondre Stevenson,RB,NE,4.3,12.96,-2.89,2.7,5.53,0.0,1.0,0.631,0.47,0.27
TreVeyon Henderson,RB,NE,3.96,12.35,-2.87,2.35,5.27,0.0,1.0,0.631,0.47,0.27
Saquon Barkley,RB,PHI,3.73,12.46,0,4.17,3.57,0.0,0,0.6659999999999999,0.267,0.09300000000000001
Dalton Schultz,TE,HOU,3.46,6.78,-1.03,4.95,1.83,0.0,1.0,0.616,0.22699999999999998,0.107
Brenton Strange,TE,JAX,3.29,14.98,0.82,3.77,2.32,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
Colston Loveland,TE,CHI,3.01,6.94,-0.54,4.33,2.61,0.0,1.0,0.509,0.307,0.098
Travis Etienne,RB,JAX,2.87,25.03,0.78,1.88,4.07,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
Dalton Kincaid,TE,BUF,2.62,5.94,-4.69,4.65,1.29,0.0,1.0,0.524,0.145,0.055
D'Andre Swift,RB,CHI,2.36,10.99,-2.07,2.13,4.14,0.0,1.0,0.509,0.307,0.098
Christian Watson,WR,GB,2.31,5.64,-8.15,4.7,-0.2,0.0,1.0,0.491,0.10300000000000001,0.032
Blake Corum,RB,LAR,2.17,8.79,-8.1,0.98,3.08,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Troy Franklin,WR,DEN,1.91,13.27,-11.87,0.54,2.27,0.0,1.0,1.0,0.604,0.315
Rashid Shaheed,WR,SEA,1.62,11.11,-11.87,0.22,1.98,0.0,1.0,1.0,0.706,0.483
Josh Jacobs,RB,GB,1.42,8.83,0,2.57,1.53,0.0,0,0.491,0.10300000000000001,0.032
Jaleel McLaughlin,RB,DEN,1.34,2.22,-13.58,-1.06,2.22,0.0,1.0,1.0,0.604,0.315
Cooper Kupp,WR,SEA,1.24,9.89,-11.87,0.1,1.61,0.0,1.0,1.0,0.706,0.483
Stefon Diggs,WR,NE,1.05,10.87,-1.89,0.17,2.01,0.0,1.0,0.631,0.47,0.27
Oronde Gadsden,TE,LAC,1.04,3.27,-4.75,2.68,0.59,0.0,1.0,0.369,0.081,0.024
Kyle Monangai,RB,CHI,0.74,2.41,-4.4,-0.73,2.41,0.0,1.0,0.509,0.307,0.098
