name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Jaxon Smith-Njigba,WR,SEA,17.79,0.706,12.56,11.17,0
Drake Maye,QB,NE,20.79,0.47,9.77,9.77,1
Matthew Stafford,QB,LAR,20.96,0.443,9.29,9.29,0
Zach Charbonnet,RB,SEA,10.59,0.706,7.48,7.48,0
Kenneth Walker,RB,SEA,10.38,0.706,7.33,7.33,0
Puka Nacua,WR,LAR,19.53,0.443,8.65,7.27,0
RJ Harvey,RB,DEN,10.89,0.604,6.58,6.58,0
Kyren Williams,RB,LAR,14.66,0.443,6.49,6.49,0
Rhamondre Stevenson,RB,NE,11.77,0.47,5.53,5.53,0
TreVeyon Henderson,RB,NE,11.22,0.47,5.27,5.27,0
AJ Barner,TE,SEA,7.14,0.706,5.04,5.04,1
Courtland Sutton,WR,DEN,10.63,0.604,6.42,5.03,1
Davante Adams,WR,LAR,13.78,0.443,6.1,4.72,1
D'Andre Swift,RB,CHI,13.47,0.307,4.14,4.14,0
Hunter Henry,TE,NE,8.75,0.47,4.11,4.11,0
Travis Etienne,RB,JAX,13.88,0.293,4.07,4.07,0
Saquon Barkley,RB,PHI,13.36,0.267,3.57,3.57,0
Colby Parkinson,TE,LAR,7.35,0.443,3.26,3.26,0
Josh Allen,QB,BUF,21.68,0.145,3.14,3.14,0
Blake Corum,RB,LAR,6.95,0.443,3.08,3.08,0
Dallas Goedert,TE,PHI,10.34,0.267,2.76,2.76,0
Christian McCaffrey,RB,SF,21.51,0.124,2.67,2.67,0
Colston Loveland,TE,CHI,8.51,0.307,2.61,2.61,0
James Cook,RB,BUF,17.16,0.145,2.49,2.49,0
Kyle Monangai,RB,CHI,7.86,0.307,2.41,2.41,0
Brenton Strange,TE,JAX,7.92,0.293,2.32,2.32,0
Troy Franklin,WR,DEN,8.27,0.604,3.66,2.27,0
Jaylen Warren,RB,PIT,12.32,0.18,2.22,2.22,0
Jaleel McLaughlin,RB,DEN,3.67,0.604,2.22,2.22,0
Stefon Diggs,WR,NE,9.87,0.47,3.4,2.01,0
Rashid Shaheed,WR,SEA,6.51,0.706,3.37,1.98,0
Kenneth Gainwell,RB,PIT,10.99,0.18,1.98,1.98,0
Woody Marks,RB,HOU,8.32,0.227,1.89,1.89,0
A.J. Brown,WR,PHI,12.09,0.267,3.23,1.84,0
Dalton Schultz,TE,HOU,8.04,0.227,1.83,1.83,0
Bhayshul Tuten,RB,JAX,5.71,0.293,1.67,1.67,0
Cooper Kupp,WR,SEA,5.8,0.706,3.0,1.61,0
Josh Jacobs,RB,GB,14.87,0.103,1.53,1.53,0
Nico Collins,WR,HOU,12.71,0.227,2.89,1.5,0
George Kittle,TE,SF,12.09,0.124,1.5,1.5,0
Jawhar Jordan,RB,HOU,6.55,0.227,1.49,1.49,0
Dalton Kincaid,TE,BUF,8.88,0.145,1.29,1.29,0
Kayshon Boutte,WR,NE,7.69,0.47,2.65,1.26,0
