name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Josh Allen,QB,BUF,BUF (Divisional),215.8,1.47,34.1,0.0,0.0,0,21.68,17
Christian McCaffrey,RB,SF,SF (Divisional),0.0,0.0,70.7,54.4,6.0,0,21.51,17
Matthew Stafford,QB,LAR,LAR (Divisional),276.9,2.71,0.1,0.0,0.0,0,20.96,17
Drake Maye,QB,NE,NE (Divisional),258.5,1.82,26.5,0.1,0.1,0,20.79,17
Trevor Lawrence,QB,JAX,JAX (Divisional),235.7,1.71,21.1,0.0,0.0,0,20.13,17
Jonathan Taylor,RB,IND,IND (Divisional),0.0,0.0,93.2,22.2,2.7,0,19.96,17
Brock Purdy,QB,SF,SF (Divisional),240.8,2.22,16.3,0.0,0.0,0,19.93,9
Bijan Robinson,RB,ATL,ATL (Divisional),0.0,0.0,86.9,48.2,4.6,0,19.72,17
Puka Nacua,WR,LAR,LAR (Divisional),0.0,0.0,6.6,107.2,8.1,0,19.53,16
Jahmyr Gibbs,RB,DET,DET (Divisional),0.0,0.0,71.9,36.2,4.5,0,19.44,17
Jalen Hurts,QB,PHI,PHI (Divisional),201.5,1.56,26.3,0.0,0.0,0,19.19,16
Caleb Williams,QB,CHI,CHI (Divisional),231.9,1.59,22.5,1.3,0.1,0,18.66,17
Dak Prescott,QB,DAL,DAL (Divisional),267.8,1.76,10.4,0.0,0.0,0,18.34,17
De'Von Achane,RB,MIA,MIA (Divisional),0.0,0.0,84.4,30.5,4.2,0,18.08,16
Jared Goff,QB,DET,DET (Divisional),268.5,2.0,2.6,0.0,0.0,0,18.06,17
Justin Herbert,QB,LAC,LAC (Divisional),232.9,1.62,31.1,0.0,0.0,0,18.05,16
Jaxon Smith-Njigba,WR,SEA,SEA (Divisional),0.0,0.0,2.1,105.5,7.0,0,17.79,17
Bo Nix,QB,DEN,DEN (Divisional),231.2,1.47,20.9,0.0,0.0,0,17.7,17
Jaxson Dart,QB,NYG,NYG (Divisional),162.3,1.07,34.8,0.0,0.0,0,17.4,14
James Cook,RB,BUF,BUF (Divisional),0.0,0.0,95.4,17.1,1.9,0,17.16,17
Lamar Jackson,QB,BAL,BAL (Divisional),196.1,1.62,26.8,0.0,0.0,0,16.84,13
Joe Burrow,QB,CIN,CIN (Divisional),226.1,2.12,5.1,0.0,0.0,0,16.81,8
Jacoby Brissett,QB,ARI,ARI (Divisional),240.4,1.64,12.0,0.0,0.0,0,16.67,14
Jayden Daniels,QB,WAS,WAS (Divisional),180.3,1.14,39.7,0.0,0.0,0,16.61,7
Derrick Henry,RB,BAL,BAL (Divisional),0.0,0.0,93.8,8.8,0.9,0,16.35,17
Baker Mayfield,QB,TB,TB (Divisional),217.2,1.53,22.5,0.0,0.0,0,16.11,17
Ja'Marr Chase,WR,CIN,CIN (Divisional),0.0,0.0,0.9,88.2,7.8,0,15.82,16
Jordan Love,QB,GB,GB (Divisional),225.4,1.53,13.3,0.0,0.0,0,15.68,15
Amon-Ra St. Brown,WR,DET,DET (Divisional),0.0,0.0,0.5,82.4,6.9,0,15.62,17
Jameis Winston,QB,NYG,NYG (Divisional),189.0,0.67,7.7,11.0,0.3,0,14.93,3
C.J. Stroud,QB,HOU,HOU (Divisional),217.2,1.36,14.9,0.0,0.0,0,14.9,14
Trey McBride,TE,ARI,ARI (Divisional),0.0,0.0,0.0,72.9,7.4,0,14.88,17
Josh Jacobs,RB,GB,GB (Divisional),0.0,0.0,61.9,18.8,2.4,0,14.87,15
Kyren Williams,RB,LAR,LAR (Divisional),0.0,0.0,73.6,16.5,2.1,0,14.66,17
Tyler Shough,QB,NO,NO (Divisional),216.7,0.91,16.9,0.0,0.0,0,14.54,11
Chase Brown,RB,CIN,CIN (Divisional),0.0,0.0,59.9,25.7,4.1,0,14.48,17
Sam Darnold,QB,SEA,SEA (Divisional),238.1,1.47,5.6,0.0,0.0,0,14.32,17
George Pickens,WR,DAL,DAL (Divisional),0.0,0.0,0.0,84.1,5.5,0,14.32,17
Aaron Rodgers,QB,PIT,PIT (Divisional),207.6,1.5,3.8,-0.6,0.1,0,14.16,16
Bryce Young,QB,CAR,CAR (Divisional),188.2,1.44,13.5,0.0,0.0,0,14.0,16
Drake London,WR,ATL,ATL (Divisional),0.0,0.0,0.0,76.6,5.7,0,13.99,12
Travis Etienne,RB,JAX,JAX (Divisional),0.0,0.0,65.1,17.2,2.1,0,13.88,17
Davante Adams,WR,LAR,LAR (Divisional),0.0,0.0,0.0,56.4,4.3,0,13.78,14
Chris Olave,WR,NO,NO (Divisional),0.0,0.0,-0.2,72.7,6.2,0,13.62,16
D'Andre Swift,RB,CHI,CHI (Divisional),0.0,0.0,67.9,18.7,2.1,0,13.47,16
Saquon Barkley,RB,PHI,PHI (Divisional),0.0,0.0,71.2,17.1,2.3,0,13.36,16
Omarion Hampton,RB,LAC,LAC (Divisional),0.0,0.0,60.6,21.3,3.6,0,13.3,9
Malik Willis,QB,GB,GB (Divisional),105.5,0.75,30.8,0.0,0.0,0,13.29,4
Ashton Jeanty,RB,LV,LV (Divisional),0.0,0.0,57.4,20.4,3.2,0,12.92,17
J.J. McCarthy,QB,MIN,MIN (Divisional),163.2,1.1,18.1,0.0,0.0,0,12.74,10
Nico Collins,WR,HOU,HOU (Divisional),0.0,0.0,1.0,74.5,4.7,0,12.71,15
Bucky Irving,RB,TB,TB (Divisional),0.0,0.0,58.8,27.7,3.0,0,12.55,10
Jaylen Warren,RB,PIT,PIT (Divisional),0.0,0.0,59.9,20.8,2.5,0,12.32,16
