name,position,team,half_ppr_points,vor
Christian McCaffrey,RB,SF,21.51,10.920000000000002
Trey McBride,TE,ARI,14.88,10.02
Puka Nacua,WR,LAR,19.53,9.920000000000002
Jonathan Taylor,RB,IND,19.96,9.370000000000001
Bijan Robinson,RB,ATL,19.72,9.129999999999999
Jahmyr Gibbs,RB,DET,19.44,8.850000000000001
Jaxon Smith-Njigba,WR,SEA,17.79,8.18
De'Von Achane,RB,MIA,18.08,7.489999999999998
George Kittle,TE,SF,12.09,7.2299999999999995
James Cook,RB,BUF,17.16,6.57
Ja'Marr Chase,WR,CIN,15.82,6.210000000000001
Amon-Ra St. Brown,WR,DET,15.62,6.01
Derrick Henry,RB,BAL,16.35,5.760000000000002
Dallas Goedert,TE,PHI,10.34,5.4799999999999995
Kyle Pitts,TE,ATL,9.81,4.95
George Pickens,WR,DAL,14.32,4.710000000000001
Harold Fannin,TE,CLE,9.53,4.669999999999999
Drake London,WR,ATL,13.99,4.380000000000001
Josh Jacobs,RB,GB,14.87,4.279999999999999
Davante Adams,WR,LAR,13.78,4.17
Travis Kelce,TE,KC,9.01,4.1499999999999995
Kyren Williams,RB,LAR,14.66,4.07
Dalton Kincaid,TE,BUF,8.88,4.0200000000000005
Chris Olave,WR,NO,13.62,4.01
Tyler Warren,TE,IND,8.85,3.9899999999999993
Jake Ferguson,TE,DAL,8.77,3.9099999999999993
Chase Brown,RB,CIN,14.48,3.8900000000000006
Hunter Henry,TE,NE,8.75,3.8899999999999997
Juwan Johnson,TE,NO,8.55,3.6900000000000004
Colston Loveland,TE,CHI,8.51,3.6499999999999995
Travis Etienne,RB,JAX,13.88,3.290000000000001
Dalton Schultz,TE,HOU,8.04,3.179999999999999
Nico Collins,WR,HOU,12.71,3.1000000000000014
Brenton Strange,TE,JAX,7.92,3.0599999999999996
D'Andre Swift,RB,CHI,13.47,2.880000000000001
Saquon Barkley,RB,PHI,13.36,2.7699999999999996
Omarion Hampton,RB,LAC,13.3,2.710000000000001
Zay Flowers,WR,BAL,12.14,2.530000000000001
Colby Parkinson,TE,LAR,7.35,2.4899999999999993
Josh Allen,QB,BUF,21.68,2.4899999999999984
A.J. Brown,WR,PHI,12.09,2.4800000000000004
Tee Higgins,WR,CIN,12.01,2.4000000000000004
Oronde Gadsden,TE,LAC,7.26,2.3999999999999995
Ashton Jeanty,RB,LV,12.92,2.33
AJ Barner,TE,SEA,7.14,2.2799999999999994
Theo Johnson,TE,NYG,7.02,2.1599999999999993
CeeDee Lamb,WR,DAL,11.67,2.0600000000000005
Bucky Irving,RB,TB,12.55,1.9600000000000009
Christian Watson,WR,GB,11.49,1.8800000000000008
Matthew Stafford,QB,LAR,20.96,1.7699999999999996
Jaylen Warren,RB,PIT,12.32,1.7300000000000004
Drake Maye,QB,NE,20.79,1.5999999999999979
Breece Hall,RB,NYJ,12.1,1.5099999999999998
Mark Andrews,TE,BAL,6.29,1.4299999999999997
Jameson Williams,WR,DET,11.02,1.4100000000000001
Albert Okwuegbunam,TE,LV,6.1,1.2399999999999993
Rhamondre Stevenson,RB,NE,11.77,1.1799999999999997
Rico Dowdle,RB,CAR,11.69,1.0999999999999996
Michael Wilson,WR,ARI,10.68,1.0700000000000003
Alec Pierce,WR,IND,10.65,1.040000000000001
Courtland Sutton,WR,DEN,10.63,1.0200000000000014
Tyler Higbee,TE,LAR,5.86,1.0
T.J. Hockenson,TE,MIN,5.82,0.96
David Njoku,TE,CLE,5.82,0.96
Quentin Johnston,WR,LAC,10.55,0.9400000000000013
Trevor Lawrence,QB,JAX,20.13,0.9399999999999977
Cade Otton,TE,TB,5.79,0.9299999999999997
DK Metcalf,WR,PIT,10.51,0.9000000000000004
Tetairoa McMillan,WR,CAR,10.49,0.8800000000000008
Chig Okonkwo,TE,TEN,5.65,0.79
Brock Purdy,QB,SF,19.93,0.7399999999999984
Rome Odunze,WR,CHI,10.34,0.7300000000000004
TreVeyon Henderson,RB,NE,11.22,0.6300000000000008
Pat Freiermuth,TE,PIT,5.48,0.6200000000000001
Jaylen Waddle,WR,MIA,10.13,0.5200000000000014
Kenneth Gainwell,RB,PIT,10.99,0.40000000000000036
Greg Dulcich,TE,MIA,5.18,0.3199999999999994
RJ Harvey,RB,DEN,10.89,0.3000000000000007
Stefon Diggs,WR,NE,9.87,0.2599999999999998
Jauan Jennings,WR,SF,9.72,0.11000000000000121
Dawson Knox,TE,BUF,4.92,0.05999999999999961
Jalen Hurts,QB,PHI,19.19,0.0
Zach Charbonnet,RB,SEA,10.59,0.0
DeVonta Smith,WR,PHI,9.61,0.0
Evan Engram,TE,DEN,4.86,0.0
Emeka Egbuka,WR,TB,9.54,-0.07000000000000028
Terry McLaurin,WR,WAS,9.52,-0.08999999999999986
Deebo Samuel,WR,WAS,9.51,-0.09999999999999964
Michael Pittman,WR,IND,9.44,-0.16999999999999993
Kenneth Walker,RB,SEA,10.38,-0.20999999999999908
Justin Jefferson,WR,MIN,9.38,-0.22999999999999865
Tony Pollard,RB,TEN,10.31,-0.27999999999999936
Ladd McConkey,WR,LAC,9.24,-0.3699999999999992
Jake Tonges,TE,SF,4.49,-0.3700000000000001
Mike Gesicki,TE,CIN,4.36,-0.5
Gunnar Helm,TE,TEN,4.36,-0.5
Michael Mayer,TE,LV,4.33,-0.5300000000000002
Caleb Williams,QB,CHI,18.66,-0.5300000000000011
Noah Fant,TE,CIN,4.25,-0.6100000000000003
Parker Washington,WR,JAX,8.98,-0.629999999999999
Phil Mafah,RB,DAL,9.9,-0.6899999999999995
Jakobi Meyers,WR,JAX,8.77,-0.8399999999999999
Dak Prescott,QB,DAL,18.34,-0.8500000000000014
Mike Evans,WR,TB,8.73,-0.879999999999999
Tyrone Tracy,RB,NYG,9.65,-0.9399999999999995
DJ Moore,WR,CHI,8.66,-0.9499999999999993
Jonnu Smith,TE,PIT,3.89,-0.9700000000000002
Cole Kmet,TE,CHI,3.86,-1.0000000000000004
Romeo Doubs,WR,GB,8.49,-1.1199999999999992
Jared Goff,QB,DET,18.06,-1.1300000000000026
Justin Herbert,QB,LAC,18.05,-1.1400000000000006
Keenan Allen,WR,LAC,8.36,-1.25
Isaiah Likely,TE,BAL,3.59,-1.2700000000000005
Khalil Shakir,WR,BUF,8.28,-1.33
Troy Franklin,WR,DEN,8.27,-1.3399999999999999
Brian Thomas,WR,JAX,8.2,-1.4100000000000001
Jordan Addison,WR,MIN,8.15,-1.459999999999999
David Montgomery,RB,DET,9.11,-1.4800000000000004
Bo Nix,QB,DEN,17.7,-1.490000000000002
Terrance Ferguson,TE,LAR,3.33,-1.5300000000000002
Josh Oliver,TE,MIN,3.17,-1.6900000000000004
Aaron Jones,RB,MIN,8.89,-1.6999999999999993
Daniel Bellinger,TE,NYG,3.13,-1.7300000000000004
Ricky Pearsall,WR,SF,7.84,-1.7699999999999996
Tre Tucker,WR,LV,7.84,-1.7699999999999996
Jaxson Dart,QB,NYG,17.4,-1.7900000000000027
Austin Hooper,TE,NE,3.05,-1.8100000000000005
Davis Allen,TE,LAR,2.99,-1.87
Tommy Tremble,TE,CAR,2.96,-1.9000000000000004
Kayshon Boutte,WR,NE,7.69,-1.919999999999999
Hunter Long,TE,JAX,2.94,-1.9200000000000004
Taysom Hill,TE,NO,2.94,-1.9200000000000004
Theo Wease,WR,MIA,7.63,-1.9799999999999995
Kimani Vidal,RB,LAC,8.45,-2.1400000000000006
Elijah Higgins,TE,ARI,2.65,-2.2100000000000004
Jackson Hawes,TE,BUF,2.63,-2.2300000000000004
Woody Marks,RB,HOU,8.32,-2.2699999999999996
Tanner Hudson,TE,CIN,2.55,-2.3100000000000005
Lamar Jackson,QB,BAL,16.84,-2.3500000000000014
Jacory Croskey-Merritt,RB,WAS,8.22,-2.369999999999999
Joe Burrow,QB,CIN,16.81,-2.3800000000000026
Chris Godwin,WR,TB,7.17,-2.4399999999999995
Kareem Hunt,RB,KC,8.14,-2.4499999999999993
Jacoby Brissett,QB,ARI,16.67,-2.5199999999999996
Marquise Brown,WR,KC,7.08,-2.5299999999999994
Alvin Kamara,RB,NO,8.02,-2.5700000000000003
Mitchell Evans,TE,CAR,2.28,-2.5800000000000005
Jayden Daniels,QB,WAS,16.61,-2.580000000000002
Luther Burden,WR,CHI,6.96,-2.6499999999999995
Kyle Monangai,RB,CHI,7.86,-2.7299999999999995
Josh Downs,WR,IND,6.84,-2.7699999999999996
Jordan Mason,RB,MIN,7.74,-2.8499999999999996
Jalen Coker,WR,CAR,6.72,-2.8899999999999997
Baker Mayfield,QB,TB,16.11,-3.080000000000002
Chuba Hubbard,RB,CAR,7.49,-3.0999999999999996
Rashid Shaheed,WR,SEA,6.51,-3.0999999999999996
Keon Coleman,WR,BUF,6.42,-3.1899999999999995
Jayden Higgins,WR,HOU,6.41,-3.1999999999999993
Xavier Worthy,WR,KC,6.35,-3.26
Rachaad White,RB,TB,7.24,-3.3499999999999996
Jordan Love,QB,GB,15.68,-3.5100000000000016
Elic Ayomanor,WR,TEN,6.0,-3.6099999999999994
