name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Jaxson Dart,QB,NYG,NYG (Wild Card),220.28,1.59,41.87,0.0,0.0,0,21.92,
Trevor Lawrence,QB,JAX,JAX (Wild Card),260.04,1.87,23.0,0.0,0.0,0,21.24,
Jahmyr Gibbs,RB,DET,DET (Wild Card),0.0,0.0,88.06,30.04,3.82,0,20.26,
Drake Maye,QB,NE,NE (Wild Card),238.73,1.8,28.63,0.0,0.0,0,20.09,
Dak Prescott,QB,DAL,DAL (Wild Card),275.51,2.07,14.2,0.0,0.0,0,20.0,
Christian McCaffrey,RB,SF,SF (Wild Card),0.0,0.0,61.21,38.66,4.8,0,18.99,
Bijan Robinson,RB,ATL,ATL (Wild Card),0.0,0.0,82.82,37.88,4.68,0,18.91,
Baker Mayfield,QB,TB,TB (Wild Card),232.81,1.8,30.46,0.0,0.0,0,18.82,
Jared Goff,QB,DET,DET (Wild Card),263.62,2.1,8.39,0.0,0.0,0,18.82,
Matthew Stafford,QB,LAR,LAR (Wild Card),261.11,2.1,5.47,0.0,0.0,0,18.45,
Lamar Jackson,QB,BAL,BAL (Wild Card),216.6,1.87,26.02,0.0,0.0,0,18.33,
Brock Purdy,QB,SF,SF (Wild Card),237.57,1.84,17.55,0.0,0.0,0,18.2,
Tyler Shough,QB,NO,NO (Wild Card),241.76,1.61,23.25,0.0,0.0,0,18.16,
Joe Burrow,QB,CIN,CIN (Wild Card),237.41,2.1,9.13,0.0,0.0,0,18.07,
Jaxon Smith-Njigba,WR,SEA,SEA (Wild Card),0.0,0.0,1.35,102.17,6.99,0,17.75,
Puka Nacua,WR,LAR,LAR (Wild Card),0.0,0.0,5.27,100.98,7.02,0,17.73,
Caleb Williams,QB,CHI,CHI (Wild Card),210.41,1.35,29.0,0.0,0.0,0,17.2,
Tanner McKee,QB,PHI,PHI (Wild Card),209.93,1.71,18.56,0.0,0.0,0,16.83,
Sam Darnold,QB,SEA,SEA (Wild Card),243.93,1.74,11.58,0.0,0.0,0,16.82,
Bo Nix,QB,DEN,DEN (Wild Card),199.85,1.49,25.78,0.0,0.0,0,16.75,
Bryce Young,QB,CAR,CAR (Wild Card),214.71,1.62,18.22,0.0,0.0,0,16.63,
Jonathan Taylor,RB,IND,IND (Wild Card),0.0,0.0,81.95,10.63,1.58,0,16.59,
Derrick Henry,RB,BAL,BAL (Wild Card),0.0,0.0,85.22,8.68,0.97,0,16.48,
Kyren Williams,RB,LAR,LAR (Wild Card),0.0,0.0,83.38,14.24,2.16,0,16.24,
Jacoby Brissett,QB,ARI,ARI (Wild Card),229.52,1.59,12.48,0.0,0.0,0,16.15,
C.J. Stroud,QB,HOU,HOU (Wild Card),239.3,1.52,12.65,0.0,0.0,0,16.0,
James Cook,RB,BUF,BUF (Wild Card),0.0,0.0,88.44,12.47,1.42,0,15.78,
Ja'Marr Chase,WR,CIN,CIN (Wild Card),0.0,0.0,1.67,83.14,6.35,0,15.62,
Shedeur Sanders,QB,CLE,CLE (Wild Card),231.78,1.69,13.49,0.0,0.0,0,15.56,
Aaron Rodgers,QB,PIT,PIT (Wild Card),209.4,1.67,5.54,0.0,0.0,0,14.87,
Amon-Ra St. Brown,WR,DET,DET (Wild Card),0.0,0.0,0.32,77.94,5.76,0,14.67,
Travis Etienne,RB,JAX,JAX (Wild Card),0.0,0.0,69.73,19.25,2.41,0,14.36,
Kirk Cousins,QB,ATL,ATL (Wild Card),212.97,1.7,3.38,0.0,0.0,0,14.32,
J.J. McCarthy,QB,MIN,MIN (Wild Card),180.78,1.52,19.94,0.0,0.0,0,14.21,
Trey McBride,TE,ARI,ARI (Wild Card),0.0,0.0,0.48,73.53,7.41,0,14.17,
CeeDee Lamb,WR,DAL,DAL (Wild Card),0.0,0.0,2.99,82.68,5.62,0,13.9,
Mitchell Trubisky,QB,BUF,BUF (Wild Card),178.86,1.32,16.89,0.0,0.0,0,13.9,
Bucky Irving,RB,TB,TB (Wild Card),0.0,0.0,73.05,23.86,2.86,0,13.88,
Ashton Jeanty,RB,LV,LV (Wild Card),0.0,0.0,49.8,27.62,4.59,0,13.58,
Trey Lance,QB,LAC,LAC (Wild Card),196.19,1.02,18.67,0.0,0.0,0,13.49,
RJ Harvey,RB,DEN,DEN (Wild Card),0.0,0.0,51.09,20.13,2.89,0,13.43,
Quinn Ewers,QB,MIA,MIA (Wild Card),204.03,1.21,11.95,0.0,0.0,0,13.32,
Chris Oladokun,QB,KC,KC (Wild Card),190.07,1.25,12.12,0.0,0.0,0,13.23,
Chase Brown,RB,CIN,CIN (Wild Card),0.0,0.0,51.49,22.22,3.73,0,12.96,
Jameson Williams,WR,DET,DET (Wild Card),0.0,0.0,5.04,71.04,4.01,0,12.91,
George Pickens,WR,DAL,DAL (Wild Card),0.0,0.0,0.64,76.97,4.64,0,12.78,
Riley Leonard,QB,IND,IND (Wild Card),172.9,1.07,16.87,0.0,0.0,0,12.78,
Cam Ward,QB,TEN,TEN (Wild Card),183.07,1.17,11.9,0.0,0.0,0,12.73,
Josh Johnson,QB,WAS,WAS (Wild Card),191.31,1.15,13.01,0.0,0.0,0,12.71,
Audric Estime,RB,NO,NO (Wild Card),0.0,0.0,58.9,18.72,2.38,0,12.67,
Drake London,WR,ATL,ATL (Wild Card),0.0,0.0,0.34,66.46,4.83,0,12.57,
Michael Wilson,WR,ARI,ARI (Wild Card),0.0,0.0,0.31,69.76,5.18,0,12.3,
