name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Jaxson Dart,QB,NYG,21.92,1.0,21.92,21.92,0
Trevor Lawrence,QB,JAX,21.24,1.0,21.24,21.24,0
Drake Maye,QB,NE,20.09,1.0,20.09,20.09,1
Jahmyr Gibbs,RB,DET,20.26,1.0,20.26,6.68,0
Trey McBride,TE,ARI,14.17,1.0,14.17,6.1,0
Puka Nacua,WR,LAR,17.73,1.0,17.73,5.86,0
Christian McCaffrey,RB,SF,18.99,1.0,18.99,5.41,0
Bijan Robinson,RB,ATL,18.91,1.0,18.91,5.33,0
Ja'Marr Chase,WR,CIN,15.62,1.0,15.62,3.75,0
George Kittle,TE,SF,11.47,1.0,11.47,3.4,0
Jonathan Taylor,RB,IND,16.59,1.0,16.59,3.01,0
Juwan Johnson,TE,NO,11.0,1.0,11.0,2.93,0
Derrick Henry,RB,BAL,16.48,1.0,16.48,2.9,0
Amon-Ra St. Brown,WR,DET,14.67,1.0,14.67,2.8,0
Kyren Williams,RB,LAR,16.24,1.0,16.24,2.66,0
James Cook,RB,BUF,15.78,1.0,15.78,2.2,0
CeeDee Lamb,WR,DAL,13.9,1.0,13.9,2.03,0
Michael Mayer,TE,LV,9.7,1.0,9.7,1.63,0
Kyle Pitts,TE,ATL,9.57,1.0,9.57,1.5,0
Jameson Williams,WR,DET,12.91,1.0,12.91,1.04,0
George Pickens,WR,DAL,12.78,1.0,12.78,0.91,0
Brenton Strange,TE,JAX,8.89,1.0,8.89,0.82,0
Travis Etienne,RB,JAX,14.36,1.0,14.36,0.78,0
Drake London,WR,ATL,12.57,1.0,12.57,0.7,0
Hunter Henry,TE,NE,8.56,1.0,8.56,0.49,0
Michael Wilson,WR,ARI,12.3,1.0,12.3,0.43,0
Mark Andrews,TE,BAL,8.39,1.0,8.39,0.32,0
Bucky Irving,RB,TB,13.88,1.0,13.88,0.3,0
Tetairoa McMillan,WR,CAR,12.15,1.0,12.15,0.28,0
Tyler Warren,TE,IND,8.31,1.0,8.31,0.24,0
Dak Prescott,QB,DAL,20.0,1.0,0.0,0.0,0
Baker Mayfield,QB,TB,18.82,1.0,0.0,0.0,0
Jared Goff,QB,DET,18.82,1.0,0.0,0.0,0
Matthew Stafford,QB,LAR,18.45,1.0,0.0,0.0,0
Lamar Jackson,QB,BAL,18.33,1.0,0.0,0.0,0
Brock Purdy,QB,SF,18.2,1.0,0.0,0.0,0
Tyler Shough,QB,NO,18.16,1.0,0.0,0.0,0
Joe Burrow,QB,CIN,18.07,1.0,0.0,0.0,0
Caleb Williams,QB,CHI,17.2,1.0,0.0,0.0,0
Tanner McKee,QB,PHI,16.83,1.0,0.0,0.0,0
Sam Darnold,QB,SEA,16.82,0.0,0.0,0.0,0
Bo Nix,QB,DEN,16.75,0.0,0.0,0.0,0
Bryce Young,QB,CAR,16.63,1.0,0.0,0.0,0
Jacoby Brissett,QB,ARI,16.15,1.0,0.0,0.0,0
C.J. Stroud,QB,HOU,16.0,1.0,0.0,0.0,0
Shedeur Sanders,QB,CLE,15.56,1.0,0.0,0.0,0
Aaron Rodgers,QB,PIT,14.87,1.0,0.0,0.0,0
Kirk Cousins,QB,ATL,14.32,1.0,0.0,0.0,0
J.J. McCarthy,QB,MIN,14.21,1.0,0.0,0.0,0
Mitchell Trubisky,QB,BUF,13.9,1.0,0.0,0.0,0
Ashton Jeanty,RB,LV,13.58,1.0,13.58,0.0,0
Trey Lance,QB,LAC,13.49,1.0,0.0,0.0,0
Quinn Ewers,QB,MIA,13.32,1.0,0.0,0.0,0
Chris Oladokun,QB,KC,13.23,1.0,0.0,0.0,0
Riley Leonard,QB,IND,12.78,1.0,0.0,0.0,0
Cam Ward,QB,TEN,12.73,1.0,0.0,0.0,0
Josh Johnson,QB,WAS,12.71,1.0,0.0,0.0,0
