name,position,team,total_vor,total_points,wc_vor,div_vor,conf_vor,sb_vor,wc_prob,div_prob,conf_prob,sb_prob
Jaxon Smith-Njigba,WR,SEA,33.83,56.69,6.52,9.59,14.54,15.43,1.0,1.0,0.706,0.483
Puka Nacua,WR,LAR,27.15,47.12,6.5,11.33,16.28,17.17,1.0,0.8220000000000001,0.44299999999999995,0.24
Kyren Williams,RB,LAR,19.58,38.3,3.57,9.21,12.36,12.36,1.0,0.8220000000000001,0.44299999999999995,0.24
Drake Maye,QB,NE,16.22,48.59,1.27,3.09,17.35,17.96,1.0,0.631,0.47,0.27
Zach Charbonnet,RB,SEA,15.0,23.18,-3.35,5.14,8.29,8.29,1.0,1.0,0.706,0.483
Christian McCaffrey,RB,SF,14.91,29.79,6.32,16.06,19.21,19.21,1.0,0.33399999999999996,0.124,0.044000000000000004
Matthew Stafford,QB,LAR,14.79,31.54,-0.37,3.26,17.52,18.13,1.0,0.8220000000000001,0.44299999999999995,0.24
Kenneth Walker,RB,SEA,14.54,22.72,-1.55,4.93,8.08,8.08,1.0,1.0,0.706,0.483
RJ Harvey,RB,DEN,14.09,34.33,0.76,5.44,8.59,8.59,1.0,1.0,0.604,0.315
Bo Nix,QB,DEN,13.3,16.27,-2.07,0.0,14.26,14.87,1.0,1.0,0.604,0.315
Sam Darnold,QB,SEA,13.23,17.03,-2.0,-3.38,10.88,11.49,1.0,1.0,0.706,0.483
AJ Barner,TE,SEA,12.31,25.07,2.02,4.51,4.86,4.86,1.0,1.0,0.706,0.483
James Cook,RB,BUF,12.22,28.2,3.11,11.71,14.86,14.86,1.0,0.524,0.145,0.055
Davante Adams,WR,LAR,11.99,20.74,0,5.58,10.53,11.42,0,0.8220000000000001,0.44299999999999995,0.24
Trevor Lawrence,QB,JAX,11.3,40.02,2.42,2.43,16.69,17.3,1.0,0.47600000000000003,0.293,0.16399999999999998
Rhamondre Stevenson,RB,NE,11.0,16.14,-1.98,6.32,9.47,9.47,1.0,0.631,0.47,0.27
Travis Etienne,RB,JAX,10.99,27.31,1.69,8.43,11.58,11.58,1.0,0.47600000000000003,0.293,0.16399999999999998
TreVeyon Henderson,RB,NE,10.24,15.38,-1.96,5.77,8.92,8.92,1.0,0.631,0.47,0.27
Hunter Henry,TE,NE,9.79,20.56,1.14,6.12,6.47,6.47,1.0,0.631,0.47,0.27
Courtland Sutton,WR,DEN,9.49,20.4,-0.71,2.43,7.38,8.27,1.0,1.0,0.604,0.315
Saquon Barkley,RB,PHI,9.25,13.71,0,7.91,11.06,11.06,0,0.6659999999999999,0.267,0.09300000000000001
George Kittle,TE,SF,8.86,17.54,4.05,9.46,9.81,9.81,1.0,0.33399999999999996,0.124,0.044000000000000004
D'Andre Swift,RB,CHI,8.61,12.31,-1.16,8.02,11.17,11.17,1.0,0.509,0.307,0.098
