name,position,team,total_vot,total_points
Drake Maye,QB,NE,48.59,48.59
Puka Nacua,WR,LAR,47.12,47.12
Jaxon Smith-Njigba,WR,SEA,38.94,38.94
Kyren Williams,RB,LAR,38.3,38.3
Matthew Stafford,QB,LAR,31.54,49.99
Christian McCaffrey,RB,SF,29.79,29.79
James Cook,RB,BUF,28.2,28.2
Travis Etienne,RB,JAX,27.31,27.31
Rhamondre Stevenson,RB,NE,26.83,26.83
TreVeyon Henderson,RB,NE,26.09,26.09
D'Andre Swift,RB,CHI,23.82,23.82
Zach Charbonnet,RB,SEA,23.18,23.18
Kenneth Walker,RB,SEA,22.72,22.72
Jaxson Dart,QB,NYG,21.92,21.92
Trevor Lawrence,QB,JAX,21.24,40.02
RJ Harvey,RB,DEN,20.9,20.9
Davante Adams,WR,LAR,20.74,20.74
Hunter Henry,TE,NE,20.56,20.56
Courtland Sutton,WR,DEN,20.4,20.4
Jahmyr Gibbs,RB,DET,20.26,20.26
Jaylen Warren,RB,PIT,19.36,19.36
Bijan Robinson,RB,ATL,18.91,18.91
Woody Marks,RB,HOU,18.49,18.49
Kenneth Gainwell,RB,PIT,17.6,17.6
George Kittle,TE,SF,17.54,17.54
Stefon Diggs,WR,NE,16.95,23.51
Jonathan Taylor,RB,IND,16.59,16.59
Derrick Henry,RB,BAL,16.48,16.48
Colby Parkinson,TE,LAR,16.37,16.37
Kyle Monangai,RB,CHI,16.36,16.36
Brenton Strange,TE,JAX,16.28,16.28
Blake Corum,RB,LAR,15.94,15.94
Josh Allen,QB,BUF,15.7,17.96
AJ Barner,TE,SEA,15.63,15.63
Ja'Marr Chase,WR,CIN,15.62,15.62
Colston Loveland,TE,CHI,15.31,15.31
Jakobi Meyers,WR,JAX,15.04,19.27
Tank Bigsby,RB,PHI,14.81,14.81
Dalton Schultz,TE,HOU,14.68,14.68
Amon-Ra St. Brown,WR,DET,14.67,14.67
Parker Washington,WR,JAX,14.23,18.56
Trey McBride,TE,ARI,14.17,14.17
CeeDee Lamb,WR,DAL,13.9,13.9
Bucky Irving,RB,TB,13.88,13.88
Saquon Barkley,RB,PHI,13.71,13.71
Ashton Jeanty,RB,LV,13.58,13.58
DJ Moore,WR,CHI,13.31,17.71
Emanuel Wilson,RB,GB,13.23,13.23
Tetairoa McMillan,WR,CAR,12.98,14.66
Chase Brown,RB,CIN,12.96,12.96
Jameson Williams,WR,DET,12.91,12.91
Rico Dowdle,RB,CAR,12.79,12.79
George Pickens,WR,DAL,12.78,12.78
Brian Thomas,WR,JAX,12.78,16.73
Audric Estime,RB,NO,12.67,12.67
Drake London,WR,ATL,12.57,12.57
A.J. Brown,WR,PHI,12.4,12.4
Michael Wilson,WR,ARI,12.3,12.3
Nico Collins,WR,HOU,12.07,12.07
Kayshon Boutte,WR,NE,12.07,17.18
Luther Burden,WR,CHI,12.05,15.58
Jayden Higgins,WR,HOU,11.95,15.64
Jordan Mason,RB,MIN,11.89,11.89
Zay Flowers,WR,BAL,11.87,11.87
Tyrone Tracy,RB,NYG,11.76,11.76
Jawhar Jordan,RB,HOU,11.56,11.56
Jaydon Blue,RB,DAL,11.51,11.51
Mike Evans,WR,TB,11.42,11.42
Justin Jefferson,WR,MIN,11.23,11.23
Tee Higgins,WR,CIN,11.21,11.21
Jauan Jennings,WR,SF,11.05,14.07
Juwan Johnson,TE,NO,11.0,11.0
Jaylen Wright,RB,MIA,10.99,10.99
Christian Watson,WR,GB,10.91,10.91
Darius Slayton,WR,NYG,10.62,10.62
